Ejercicios,Objetivo
Caminar rapido,mantener
Montar bicicleta (en un area plana; sin muchas colinas),mantener
Recreacion activa; como remar en kayak; el excursionismo; o nadar,mantener
Tareas del hogar o en el jardin; como barrer o cortar el cesped,mantener
Jugar juegos que requieran atrapar y lanzar; como el beisbol o el softbol,mantener
Correr,bajar
Montar bicicletas (incluyendo colinas),bajar
Juegos activos que incluyan correr y perseguir; como la el �tag�; o futbol bandera (flag football;),bajar
Saltar la cuerda,bajar
Esquiar a campo abierto,bajar
Artes marciales,bajar
Deportes como el futbol; el baloncesto; natacion y tenis,bajar
Bailar vigorosamente,bajar
Ejercicios de resistencia usando el peso de su cuerpo; bandas de resistencia; maquinas o pesas,subir
Algunas formas de yoga,subir
